,goods,value,all_profit,all_profit_total,all_sales_price,discount_rate
149,"['泰国桂圆-约250-300g/份', '凯特芒芒果-1只700-800g', '红心猕猴桃-1盒5只']",60.400000000000006,"[6.700000000000001, 16.200000000000003, 14.0]",36.900000000000006,"[11.8, 25.8, 22.8]","[1, 1, 1]"
150,"['泰国桂圆-约250-300g/份', '凯特芒芒果-1只700-800g', '鲜丰玉麒麟西瓜-半只约4-5斤']",70.4,"[6.700000000000001, 16.200000000000003, 17.799999999999997]",40.7,"[11.8, 25.8, 32.8]","[1, 1, 1]"
153,"['泰国桂圆-约250-300g/份', '红心猕猴桃-1盒5只', '鲜丰玉麒麟西瓜-半只约4-5斤']",67.4,"[6.700000000000001, 14.0, 17.799999999999997]",38.5,"[11.8, 22.8, 32.8]","[1, 1, 1]"
155,"['泰国桂圆-约250-300g/份', '红心猕猴桃-1盒5只', '【进口】菲律宾凤梨-1.8-1.9kg/只']",73.4,"[6.700000000000001, 14.0, 19.799999999999997]",40.5,"[11.8, 22.8, 38.8]","[1, 1, 1]"
156,"['泰国桂圆-约250-300g/份', '鲜丰玉麒麟西瓜-半只约4-5斤', '新疆蜜瓜-半只3-3.5斤']",73.39999999999999,"[6.700000000000001, 17.799999999999997, 18.3]",42.8,"[11.8, 32.8, 28.8]","[1, 1, 1]"
157,"['泰国桂圆-约250-300g/份', '鲜丰玉麒麟西瓜-半只约4-5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",83.39999999999999,"[6.700000000000001, 17.799999999999997, 19.799999999999997]",44.3,"[11.8, 32.8, 38.8]","[1, 1, 1]"
158,"['泰国桂圆-约250-300g/份', '新疆蜜瓜-半只3-3.5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",79.4,"[6.700000000000001, 18.3, 19.799999999999997]",44.8,"[11.8, 28.8, 38.8]","[1, 1, 1]"
159,"['云南蜜桔子-450-500g', '【进口】越南白火龙果-450-500g/只', '樱桃小番茄-约500g/盒']",38.400000000000006,"[7.300000000000001, 6.44, 7.800000000000001]",21.540000000000003,"[12.8, 12.8, 12.8]","[1, 1, 1]"
162,"['云南蜜桔子-450-500g', '【进口】越南白火龙果-450-500g/只', '鲜丰玉麒麟西瓜-半只约4-5斤']",58.4,"[7.300000000000001, 6.44, 17.799999999999997]",31.54,"[12.8, 12.8, 32.8]","[1, 1, 1]"
163,"['云南蜜桔子-450-500g', '【进口】越南白火龙果-450-500g/只', '新疆蜜瓜-半只3-3.5斤']",54.400000000000006,"[7.300000000000001, 6.44, 18.3]",32.040000000000006,"[12.8, 12.8, 28.8]","[1, 1, 1]"
177,"['云南蜜桔子-450-500g', '鲜丰玉麒麟西瓜-半只约4-5斤', '新疆蜜瓜-半只3-3.5斤']",74.39999999999999,"[7.300000000000001, 17.799999999999997, 18.3]",43.4,"[12.8, 32.8, 28.8]","[1, 1, 1]"
178,"['云南蜜桔子-450-500g', '鲜丰玉麒麟西瓜-半只约4-5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",84.39999999999999,"[7.300000000000001, 17.799999999999997, 19.799999999999997]",44.89999999999999,"[12.8, 32.8, 38.8]","[1, 1, 1]"
179,"['云南蜜桔子-450-500g', '新疆蜜瓜-半只3-3.5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",80.4,"[7.300000000000001, 18.3, 19.799999999999997]",45.4,"[12.8, 28.8, 38.8]","[1, 1, 1]"
205,"['凯特芒芒果-1只700-800g', '红心猕猴桃-1盒5只', '鲜丰玉麒麟西瓜-半只约4-5斤']",81.4,"[16.200000000000003, 14.0, 17.799999999999997]",48.0,"[25.8, 22.8, 32.8]","[1, 1, 1]"
207,"['凯特芒芒果-1只700-800g', '红心猕猴桃-1盒5只', '【进口】菲律宾凤梨-1.8-1.9kg/只']",87.4,"[16.200000000000003, 14.0, 19.799999999999997]",50.0,"[25.8, 22.8, 38.8]","[1, 1, 1]"
208,"['凯特芒芒果-1只700-800g', '鲜丰玉麒麟西瓜-半只约4-5斤', '新疆蜜瓜-半只3-3.5斤']",87.39999999999999,"[16.200000000000003, 17.799999999999997, 18.3]",52.3,"[25.8, 32.8, 28.8]","[1, 1, 1]"
209,"['凯特芒芒果-1只700-800g', '鲜丰玉麒麟西瓜-半只约4-5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",97.39999999999999,"[16.200000000000003, 17.799999999999997, 19.799999999999997]",53.8,"[25.8, 32.8, 38.8]","[1, 1, 1]"
210,"['凯特芒芒果-1只700-800g', '新疆蜜瓜-半只3-3.5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",93.4,"[16.200000000000003, 18.3, 19.799999999999997]",54.3,"[25.8, 28.8, 38.8]","[1, 1, 1]"
212,"['红心猕猴桃-1盒5只', '鲜丰玉麒麟西瓜-半只约4-5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",94.39999999999999,"[14.0, 17.799999999999997, 19.799999999999997]",51.599999999999994,"[22.8, 32.8, 38.8]","[1, 1, 1]"
213,"['红心猕猴桃-1盒5只', '新疆蜜瓜-半只3-3.5斤', '【进口】菲律宾凤梨-1.8-1.9kg/只']",90.4,"[14.0, 18.3, 19.799999999999997]",52.099999999999994,"[22.8, 28.8, 38.8]","[1, 1, 1]"
214,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '泰国桂圆-约250-300g/份', '云南蜜桔子-450-500g']",45.2,"[5.8074074074074105, 6.6000000000000005, 6.700000000000001, 7.300000000000001]",26.407407407407415,"[9.8, 10.8, 11.8, 12.8]","[1, 1, 1, 1]"
217,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '泰国桂圆-约250-300g/份', '凯特芒芒果-1只700-800g']",58.2,"[5.8074074074074105, 6.6000000000000005, 6.700000000000001, 16.200000000000003]",35.30740740740742,"[9.8, 10.8, 11.8, 25.8]","[1, 1, 1, 1]"
218,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '泰国桂圆-约250-300g/份', '红心猕猴桃-1盒5只']",55.2,"[5.8074074074074105, 6.6000000000000005, 6.700000000000001, 14.0]",33.107407407407415,"[9.8, 10.8, 11.8, 22.8]","[1, 1, 1, 1]"
219,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '泰国桂圆-约250-300g/份', '鲜丰玉麒麟西瓜-半只约4-5斤']",65.2,"[5.8074074074074105, 6.6000000000000005, 6.700000000000001, 17.799999999999997]",36.90740740740741,"[9.8, 10.8, 11.8, 32.8]","[1, 1, 1, 1]"
220,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '泰国桂圆-约250-300g/份', '新疆蜜瓜-半只3-3.5斤']",61.2,"[5.8074074074074105, 6.6000000000000005, 6.700000000000001, 18.3]",37.40740740740742,"[9.8, 10.8, 11.8, 28.8]","[1, 1, 1, 1]"
221,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '泰国桂圆-约250-300g/份', '【进口】菲律宾凤梨-1.8-1.9kg/只']",71.2,"[5.8074074074074105, 6.6000000000000005, 6.700000000000001, 19.799999999999997]",38.90740740740741,"[9.8, 10.8, 11.8, 38.8]","[1, 1, 1, 1]"
222,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '云南蜜桔子-450-500g', '【进口】越南白火龙果-450-500g/只']",46.2,"[5.8074074074074105, 6.6000000000000005, 7.300000000000001, 6.44]",26.147407407407414,"[9.8, 10.8, 12.8, 12.8]","[1, 1, 1, 1]"
224,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '云南蜜桔子-450-500g', '凯特芒芒果-1只700-800g']",59.2,"[5.8074074074074105, 6.6000000000000005, 7.300000000000001, 16.200000000000003]",35.90740740740742,"[9.8, 10.8, 12.8, 25.8]","[1, 1, 1, 1]"
225,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '云南蜜桔子-450-500g', '红心猕猴桃-1盒5只']",56.2,"[5.8074074074074105, 6.6000000000000005, 7.300000000000001, 14.0]",33.707407407407416,"[9.8, 10.8, 12.8, 22.8]","[1, 1, 1, 1]"
226,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '云南蜜桔子-450-500g', '鲜丰玉麒麟西瓜-半只约4-5斤']",66.2,"[5.8074074074074105, 6.6000000000000005, 7.300000000000001, 17.799999999999997]",37.50740740740741,"[9.8, 10.8, 12.8, 32.8]","[1, 1, 1, 1]"
227,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '云南蜜桔子-450-500g', '新疆蜜瓜-半只3-3.5斤']",62.2,"[5.8074074074074105, 6.6000000000000005, 7.300000000000001, 18.3]",38.00740740740741,"[9.8, 10.8, 12.8, 28.8]","[1, 1, 1, 1]"
228,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '云南蜜桔子-450-500g', '【进口】菲律宾凤梨-1.8-1.9kg/只']",72.2,"[5.8074074074074105, 6.6000000000000005, 7.300000000000001, 19.799999999999997]",39.50740740740741,"[9.8, 10.8, 12.8, 38.8]","[1, 1, 1, 1]"
