,当前组合商品名称,总毛利,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,毛利排名,该组合下客户最终的订单金额
189,【甜蜜现剥】菠萝蜜-约250-300g,10.572712,171.6667%,6.9,10.3,0.868421052631579,59.0,29.312712000000005
190,【脆甜】冰糖冬枣-约半斤,10.572712,56.6667%,6.6,3.4000000000000004,1.0,59.0,29.312712000000005
191,【皮薄水润】东江湖蜜桔子-450-500g,10.572712,43.3333%,6.6,2.5999999999999996,1.0,59.0,29.312712000000005
192,【满山红】红富士苹果75#-约1斤,12.738711999999996,-20.4095%,22.8,-4.4901,0.0015,60.0,29.928712
193,【甜蜜现剥】菠萝蜜-约250-300g,12.738711999999996,147.1429%,7.6,10.3,0.868421052631579,60.0,29.928712
194,【真的超甜】黄蒂柑橘子1个,12.738711999999996,94.1667%,6.6,5.6499999999999995,1.0,60.0,29.928712
195,【皮薄水润】东江湖蜜桔子-450-500g,12.738711999999996,43.3333%,6.6,2.5999999999999996,1.0,60.0,29.928712
196,【满山红】红富士苹果75#-约1斤,16.70071200000001,-64.1443%,7.8,-4.4901,0.0015,61.0,40.840712
197,【菲律宾】进口香蕉-约450~500g/份,16.70071200000001,35.7143%,7.5,2.5000000000000018,0.871794871794872,61.0,40.840712
198,菲诺纯椰汁-约180ml/袋,16.70071200000001,13.4286%,35.8,4.700000000000003,0.906666666666667,61.0,40.840712
199,【杨果铺】嘴强大脑奶香核桃-1包500g,16.70071200000001,280.0000%,6.6,16.800000000000004,0.916201117318436,61.0,40.840712
200,【满山红】红富士苹果75#-约1斤,6.408712000000004,-64.1443%,7.8,-4.4901,0.0015,62.0,18.048712000000005
201,【菲律宾】进口香蕉-约450~500g/份,6.408712000000004,35.7143%,7.5,2.5000000000000018,0.871794871794872,62.0,18.048712000000005
202,菲诺纯椰汁-约180ml/袋,6.408712000000004,78.3333%,6.9,4.700000000000003,0.906666666666667,62.0,18.048712000000005
203,【脆甜】冰糖冬枣-约半斤,6.408712000000004,56.6667%,6.6,3.4000000000000004,1.0,62.0,18.048712000000005
204,【满山红】红富士苹果75#-约1斤,8.574712000000005,-64.1443%,7.8,-4.4901,0.0015,63.0,18.664712
205,【菲律宾】进口香蕉-约450~500g/份,8.574712000000005,35.7143%,7.5,2.5000000000000018,0.871794871794872,63.0,18.664712
206,菲诺纯椰汁-约180ml/袋,8.574712000000005,67.1429%,7.6,4.700000000000003,0.906666666666667,63.0,18.664712
207,【真的超甜】黄蒂柑橘子1个,8.574712000000005,94.1667%,6.6,5.6499999999999995,1.0,63.0,18.664712
208,【满山红】红富士苹果75#-约1斤,5.644712000000004,-64.1443%,7.8,-4.4901,0.0015,64.0,17.784712000000003
209,【菲律宾】进口香蕉-约450~500g/份,5.644712000000004,35.7143%,7.5,2.5000000000000018,0.871794871794872,64.0,17.784712000000003
210,菲诺纯椰汁-约180ml/袋,5.644712000000004,78.3333%,6.6,4.700000000000003,0.906666666666667,64.0,17.784712000000003
211,【皮薄水润】东江湖蜜桔子-450-500g,5.644712000000004,43.3333%,6.6,2.5999999999999996,1.0,64.0,17.784712000000003
212,【满山红】红富士苹果75#-约1斤,15.388712000000003,-64.1443%,7.8,-4.4901,0.0015,65.0,40.92871200000001
213,【菲律宾】进口香蕉-约450~500g/份,15.388712000000003,7.1429%,35.8,2.5000000000000018,0.871794871794872,65.0,40.92871200000001
214,【杨果铺】嘴强大脑奶香核桃-1包500g,15.388712000000003,280.0000%,6.9,16.800000000000004,0.916201117318436,65.0,40.92871200000001
215,【脆甜】冰糖冬枣-约半斤,15.388712000000003,56.6667%,6.6,3.4000000000000004,1.0,65.0,40.92871200000001
216,【满山红】红富士苹果75#-约1斤,17.554712000000002,-64.1443%,7.8,-4.4901,0.0015,66.0,41.54471200000001
217,【菲律宾】进口香蕉-约450~500g/份,17.554712000000002,7.1429%,35.8,2.5000000000000018,0.871794871794872,66.0,41.54471200000001
218,【杨果铺】嘴强大脑奶香核桃-1包500g,17.554712000000002,240.0000%,7.6,16.800000000000004,0.916201117318436,66.0,41.54471200000001
219,【真的超甜】黄蒂柑橘子1个,17.554712000000002,94.1667%,6.6,5.6499999999999995,1.0,66.0,41.54471200000001
220,【满山红】红富士苹果75#-约1斤,14.624712000000006,-64.1443%,7.8,-4.4901,0.0015,67.0,40.66471200000001
221,【菲律宾】进口香蕉-约450~500g/份,14.624712000000006,7.1429%,35.8,2.5000000000000018,0.871794871794872,67.0,40.66471200000001
222,【杨果铺】嘴强大脑奶香核桃-1包500g,14.624712000000006,280.0000%,6.6,16.800000000000004,0.916201117318436,67.0,40.66471200000001
223,【皮薄水润】东江湖蜜桔子-450-500g,14.624712000000006,43.3333%,6.6,2.5999999999999996,1.0,67.0,40.66471200000001
224,【满山红】红富士苹果75#-约1斤,7.2627120000000005,-64.1443%,7.8,-4.4901,0.0015,68.0,18.752712000000002
225,【菲律宾】进口香蕉-约450~500g/份,7.2627120000000005,41.6667%,6.9,2.5000000000000018,0.871794871794872,68.0,18.752712000000002
226,【脆甜】冰糖冬枣-约半斤,7.2627120000000005,48.5714%,7.6,3.4000000000000004,1.0,68.0,18.752712000000002
227,【真的超甜】黄蒂柑橘子1个,7.2627120000000005,94.1667%,6.6,5.6499999999999995,1.0,68.0,18.752712000000002
228,【满山红】红富士苹果75#-约1斤,4.332712000000002,-64.1443%,7.8,-4.4901,0.0015,69.0,17.872712000000003
229,【菲律宾】进口香蕉-约450~500g/份,4.332712000000002,41.6667%,6.9,2.5000000000000018,0.871794871794872,69.0,17.872712000000003
230,【脆甜】冰糖冬枣-约半斤,4.332712000000002,56.6667%,6.6,3.4000000000000004,1.0,69.0,17.872712000000003
231,【皮薄水润】东江湖蜜桔子-450-500g,4.332712000000002,43.3333%,6.6,2.5999999999999996,1.0,69.0,17.872712000000003
232,【满山红】红富士苹果75#-约1斤,6.498712000000002,-64.1443%,7.8,-4.4901,0.0015,70.0,18.488712
233,【菲律宾】进口香蕉-约450~500g/份,6.498712000000002,35.7143%,7.6,2.5000000000000018,0.871794871794872,70.0,18.488712
234,【真的超甜】黄蒂柑橘子1个,6.498712000000002,94.1667%,6.6,5.6499999999999995,1.0,70.0,18.488712
235,【皮薄水润】东江湖蜜桔子-450-500g,6.498712000000002,43.3333%,6.6,2.5999999999999996,1.0,70.0,18.488712
236,【满山红】红富士苹果75#-约1斤,18.442712000000004,-12.8289%,35.8,-4.4901,0.0015,71.0,41.632712000000005
237,【杨果铺】嘴强大脑奶香核桃-1包500g,18.442712000000004,280.0000%,6.9,16.800000000000004,0.916201117318436,71.0,41.632712000000005
238,【脆甜】冰糖冬枣-约半斤,18.442712000000004,48.5714%,7.6,3.4000000000000004,1.0,71.0,41.632712000000005
239,【真的超甜】黄蒂柑橘子1个,18.442712000000004,94.1667%,6.6,5.6499999999999995,1.0,71.0,41.632712000000005
240,【满山红】红富士苹果75#-约1斤,15.512712000000006,-12.8289%,35.8,-4.4901,0.0015,72.0,40.752712
