,当前组合商品名称,总毛利,总毛利率,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,每款商品的活动价,毛利排名,该组合下客户最终的订单金额
22,佳沛阳光金果36#,18.014760000000003,26.6117%,15.58%,23.96,5.080000000000002,1.0,23.96,182.0,67.69476
23,凯特芒青1个-约700g,18.014760000000003,26.6117%,29.75%,21.4564,8.856399999999999,1.0,21.4564,182.0,67.69476
24,优选车厘子XL-1斤,17.784000000000002,27.0833%,-0.25%,69.0,22.0,1.0,69.0,183.0,65.66400000000002
25,佳沛阳光金果36#,17.784000000000002,27.0833%,-0.18%,23.96,5.080000000000002,1.0,23.96,183.0,65.66400000000002
26,沙洲绿宝瓜1只-约3斤,17.674000000000007,23.9310%,-22.61%,29.8,-9.6,0.1,29.8,184.0,73.854
27,花生糖/芝麻粮任选1包(500g),17.674000000000007,23.9310%,31.69%,25.3,11.600000000000001,1.0,25.3,184.0,73.854
28,红肉菠萝蜜1斤,17.674000000000007,23.9310%,55.82%,23.96,18.8,1.0,23.96,184.0,73.854
29,佳沛阳光金果36#,17.674000000000007,23.9310%,11.56%,30.0,5.080000000000002,1.0,3.0,184.0,73.854
30,阳光玫瑰葡萄1份-约500g,17.450760000000006,12.1143%,-11.14%,133.0,-28.4,0.1,133.0,185.0,144.05076
31,甄选车厘子（JJ）-1斤,17.450760000000006,12.1143%,131.64%,21.4564,53.0,1.0,21.4564,185.0,144.05076
32,凯特芒青1个-约700g,17.450760000000006,12.1143%,8.25%,56.0,8.856399999999999,1.0,5.6000000000000005,185.0,144.05076
33,网纹瓜1只约3斤,17.360760000000003,38.6131%,37.44%,28.5,13.5,1.0,28.5,186.0,44.96076
34,凯特芒青1个-约700g,17.360760000000003,38.6131%,32.75%,21.4564,8.856399999999999,1.0,21.4564,186.0,44.96076
35,沙洲绿宝瓜1只-约3斤,17.019999999999996,33.2942%,-25.71%,28.5,-9.6,0.1,28.5,187.0,51.12
36,网纹瓜1只约3斤,17.019999999999996,33.2942%,40.49%,25.3,13.5,1.0,25.3,187.0,51.12
37,红肉菠萝蜜1斤,17.019999999999996,33.2942%,46.99%,30.0,18.8,1.0,3.0,187.0,51.12
